Page_Number,Sutra,Book_Name,Sanskrit,Romanised_Sanskrit,Meaning,Question,Hindi_Question,Answer,Hindi_Answer,Reference_Link
3,1,Haṭha Yoga Pradīpikā,"शरी आदि नाथाय नमो|अस्तु तस्मै
येनोपदिष्ह्टा हठ योग विद्या |
विभ्राजते परोन्नत राज योगम
आरोढुमिछ्छोरधिरोहिणीव ||","śarī ādi nāthāya namo|astu tasmai
yenopadiṣhṭā haṭha yoga vidyā |
vibhrājate paronnata rāja yogama
āroḍhumichchoradhirohiṇīva ||","Salutation to Âdinâtha (Śiva) who expounded the knowledge of Haṭha Yoga, which like a staircase leads the aspirant to the high pinnacled Râja Yoga.",Who is the original teacher of Hatha Yoga and what did he teach?,हठ योग के मूल गुरु कौन थे और उन्होंने क्या सिखाया?,"The original teacher of Hatha Yoga is Lord Shiva or Adi Nath. He taught the science of Hatha Yoga to his consort Parvati. This knowledge is described as a staircase for those who wish to attain the high peak of Raja Yoga, also known as Supreme Yoga.","हठ योग के मूल गुरु भगवान शिव या आदि नाथ हैं। उन्होंने अपनी पत्नी पार्वती को हठ योग का ज्ञान दिया। इस ज्ञान को राज योग के शिखर तक पहुंचने की सीढ़ी के रूप में वर्णित किया गया है, जिसे सर्वोच्च योग भी कहा जाता है।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
3,2,Haṭha Yoga Pradīpikā,"परणम्य शरी गुरुं नाथं सवात्मारामेण योगिना |
केवलं राज योगाय हठ विद्योपदिश्यते ||","paraṇamya śarī guruṃ nāthaṃ savātmārāmeṇa yoginā |
kevalaṃ rāja yogāya haṭha vidyopadiśyate ||","Yogin Swâtmârâma, after saluting first his Gurû Srinâtha explains Haṭha Yoga for the attainment of Raja Yoga.",What is the foundational methodology prescribed for the mastery of Rāja Yoga?,राज योग में महारत हासिल करने के लिए निर्धारित मूलभूत पद्धति क्या है?,,हठ विद्या का व्यवस्थित अभ्यास राज योग की अवस्था को प्राप्त करने के लिए आवश्यक पूर्व शर्त और सहायक ढांचा प्रदान करता है।,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
3,3,Haṭha Yoga Pradīpikā,"भरान्त्या बहुमत धवान्ते राज योगमजानताम |
हठ परदीपिकां धत्ते सवात्मारामः कॄपाकरः ||","bhrāntyā bahumata dhvānte rāja yoghamajānatām |
haṭha pradīpikāṃ dhatte svātmārāmaḥ kṝpākaraḥ ||",Owing to the darkness arising from the multiplicity of opinions people are unable to know the Râja Yoga. Compassionate Swâtmârâma composes the Haṭha Yoga Pradipikâ like a torch to dispel it.,,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
3,4,Haṭha Yoga Pradīpikā,"हठ विद्यां हि मत्स्येन्द्र गोरक्ष्हाद्या विजानते |
सवात्मारामो|अथवा योगी जानीते तत परसादतः ||","haṭha vidyāṃ hi matsyendra ghorakṣhādyā vijānate |
svātmārāmo|athavā yoghī jānīte tat prasādataḥ ||","Matsyendra, Gorakṣa, etc., knew Haṭha Vidyâ, and by their favour Yogî Swâtmârâma also learnt it from them.

The following Siddhas (masters) are said to have existed in former times:—",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
3,5,Haṭha Yoga Pradīpikā,"शरी आदिनाथ मत्स्येन्द्र शावरानन्द भैरवाः |
छौरङ्गी मीन गोरक्ष्ह विरूपाक्ष्ह बिलेशयाः || ५ ||","śrī ādinātha matsyendra śāvarānanda bhairavāḥ |
chaurangghī mīna ghorakṣha virūpākṣha bileśayāḥ || 5 ||","Sri Âdinâtha (Śiva), Matsyendra, Nâtha, Sâbar, Anand, Bhairava, Chaurangi, Mîna nâtha, Gorakṣanâtha, Virupâkṣa, Bileśaya.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
3,6,Haṭha Yoga Pradīpikā,"मन्थानो भैरवो योगी सिद्धिर्बुद्धश्छ कन्थडिः |
कोरंटकः सुरानन्दः सिद्धपादश्छ छर्पटिः || ६ ||","manthāno bhairavo yoghī siddhirbuddhaścha kanthaḍiḥ |
koraṃṭakaḥ surānandaḥ siddhapādaścha charpaṭiḥ || 6 ||","Manthâna, Bhairava, Siddhi Buddha, Kanthadi, Karantaka, Surânanda, Siddhipâda, Charapati.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
3,7,Haṭha Yoga Pradīpikā,"कानेरी पूज्यपादश्छ नित्य नाथो निरञ्जनः |
कपाली बिन्दुनाथश्छ काकछण्डीश्वराह्वयः || ७ ||","kānerī pūjyapādaścha nitya nātho nirañjanaḥ |
kapālī bindunāthaścha kākachaṇḍīśvarāhvayaḥ || 7 ||","Kânerî, Pûjyapâda, Nityanâtha, Nirañjana, Kapâli, Vindunâtha, Kâka Chandîśwara.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
3,8,Haṭha Yoga Pradīpikā,"अल्लामः परभुदेवश्छ घोडा छोली छ टिंटिणिः |
भानुकी नारदेवश्छ खण्डः कापालिकस्तथा || ८ ||","allāmaḥ prabhudevaścha ghoḍā cholī cha ṭiṃṭiṇiḥ |
bhānukī nāradevaścha khaṇḍaḥ kāpālikastathā || 8 ||","Allâma, Prabhudeva, Ghodâ, Cholî, Tintiṇi, Bhânukî Nârdeva, Khanda Kâpâlika, etc.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
4,9,Haṭha Yoga Pradīpikā,"इत्यादयो महासिद्धा हठ योग परभावतः |
खण्डयित्वा काल दण्डं बरह्माण्डे विछरन्ति ते || ९ ||","ityādayo mahāsiddhā haṭha yogha prabhāvataḥ |
khaṇḍayitvā kāla daṇḍaṃ brahmāṇḍe vicharanti te || 9 ||","These Mahâsiddhas (great masters), breaking the sceptre of death, are roaming in the universe.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
4,10,Haṭha Yoga Pradīpikā,"अशेष्ह ताप तप्तानां समाश्रय मठो हठः |
अशेष्ह योग युक्तानामाधार कमठो हठः || १० ||","aśeṣha tāpa taptānāṃ samāśraya maṭho haṭhaḥ |
aśeṣha yogha yuktānāmādhāra kamaṭho haṭhaḥ || 10 ||","Like a house protecting one from the heat of the sun, Haṭha Yoga protects its practiser from the burning heat of the three Tâpas; and, similarly, it is the supporting tortoise, as it were, for those who are constantly devoted to the practice of Yoga.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
4,11,Haṭha Yoga Pradīpikā,"हठ विद्या परं गोप्या योगिना सिद्धिमिछ्छता |
भवेद्वीर्यवती गुप्ता निर्वीर्या तु परकाशिता || ११ ||","haṭha vidyā paraṃ ghopyā yoghinā siddhimichchatā |
bhavedvīryavatī ghuptā nirvīryā tu prakāśitā || 11 ||","A Yogî desirous of success should keep the knowledge of Haṭha Yoga secret; for it becomes potent by concealing, and impotent by exposing.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
