Questions,Answer,References
What is YOGA?,"Yog, or Yoga as it is commonly known, is derived from the Sanskrit word ‘Yuj’.Achieving a conscious connection is key to accessing the true essence of yoga. Through this mindful awareness, we are able to fully immerse ourselves in the present moment and experience the people, things, and experiences around us in a more profound way. This state of connection is a joyful and fulfilling experience that adds a new level of depth and richness to our lives.",https://vijaypoweryoga.com/what-is-yoga/
What is YOGA?,"Defines yoga as equanimity (“evenness of mind in success and failure”), as “skill in action,” and as “separation from contact with suffering.”",https://www.hellomyyoga.com/blog/yoga/definition/
What is YOGA?,yoga as yogaś citta-vṛtti-nirodhaḥ – the cessation of the fluctuations of the mind.,https://ekamyoga.com/blogs/online-yoga-guide/yoga-sutras-of-patanjali
What is YOGA?,Yoga is described as “firm restraint of the senses” when the senses and mind are still and the intellect is at rest.,https://dharmawiki.org/index.php/Yoga_Darshana_(योगदर्शनम्)
Which texts are the foundational work on yoga philosophy,"Patanjali Yoga Sutra: A foundational philosophical text of classical yoga, composed of 196 aphorisms (sutras) attributed to Patanjali. Systematizes the eight‑limbed (aṣṭāṅga) path: yama, niyama, asana, pranayama, pratyahara, dharana, dhyana, and samadhi, focusing on mind, cognition, and liberation rather than detailed physical techniques.",https://www.yogaclassplan.com/samadhi-pada-sadhana-pada-what-patanjali-teaches-us-in-yoga-sutras/
Which texts are the foundational work on yoga philosophy,"Haṭha Yoga Pradīpikā (~15th CE): Foundational for haṭha/postural yoga techniques (āsana, prāṇāyāma, mudrās).",https://www.sirayoga.com/three-ancient-texts/
Which texts are the foundational work on yoga philosophy,"Gheranda Samhita: Strongly practice‑oriented, detailing 32 asanas, 25 mudras, 10 pranayamas, 5 types of pratyahara, lifestyle guidance, and the goal of perfection of body, mind, and soul.",https://lakshminarayanlenasia.com/wp-content/uploads/2022/10/docs2/DevotionalCollection/Sacred%20Book/Gheranda-Samhita.pdf
Which texts are the foundational work on yoga philosophy,Yoga Yajnavalkya: A classical Sanskrit yoga text framed as a dialogue between sage Yajnavalkya and Gargi.,https://www.indicayoga.com/yoga-yajnavalkya-saṃhita-a-unique-vedic-haṭhayoga-text-modeled-on-aṣṭaṅgayoga-an-overview-part-2/
What do yama and niyama specifically refer to ?,"Explicitly listed as ahiṃsā-satya-asteya-brahmacarya-aparigrahāḥ yamāḥ (""Nonviolence, truthfulness, non-stealing, continence, non-possessiveness"").

Ahiṃsā: Non-harming in thought, word, deed.

Satya: Truthfulness without distortion.

Asteya: Non-stealing (includes non-coveting).

Brahmacarya: Moderation of vital energy (continence/celibacy).

Aparigraha: Non-possessiveness/non-greed.",https://www.yogadistrict.com/yoga-districts-yama-and-niyama-guide/
What do yama and niyama specifically refer to ?,"Niyama (Five Observances) – YS 2.32
Śauca-santoṣa-tapḥ-svādhyāya-īśvarapraṇidhānāni niyamāḥ (""Purity, contentment, austerity, self-study, surrender to Īśvara"").

Śauca: Cleanliness (external/internal).

Santoṣa: Contentment.

Tapas: Heat/discipline/austerity.

Svādhyāya: Study of scriptures/self-reflection.

Īśvarapraṇidhāna: Devotion/surrender to the divine.

",https://artoflivingretreatcenter.org/blog/how-to-live-in-harmony-with-yourself-and-the-world-around-you/
What are the eight limbs of yoga  ?,"Yama (restraints) includes universal ethical principles—ahiṃsā (nonviolence), satya (truthfulness), asteya (non-stealing), brahmacarya (continence), and aparigraha (non-possessiveness)—applied without exception across time, place, or circumstance.
​

Niyama (observances) comprises personal purifications: śauca (purity), santoṣa (contentment), tapas (austerity), svādhyāya (scriptural study), and īśvarapraṇidhāna (surrender to the divine), cultivating inner clarity.
​

Āsana (posture) establishes a steady, comfortable seat (sthira-sukham āsanam) free from dualities, preparing the body for prolonged meditation.

Prāṇāyāma (breath regulation) controls prāṇa through inhalation (pūraka), exhalation (rechaka), and retention (kumbhaka), removing the veiling of the light .
​

Pratyāhāra (sense withdrawal) detaches senses from external objects, mastering the mind's tendencies.
​

Dhāraṇā (concentration) fixes awareness on a single point (deśa-bandhās cittasya dhāraṇā), the gateway to meditation.
​

Dhyāna (meditation) sustains uninterrupted flow of awareness toward that point.
​

Samādhi (absorption) merges knower, knowing, and known into non-dual unity, the culmination of the path.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11142016/
What are the eight limbs of yoga  ?,"Yama (restraints) includes universal ethical principles—ahiṃsā (nonviolence), satya (truthfulness), asteya (non-stealing), brahmacarya (continence), and aparigraha (non-possessiveness)—applied without exception across time, place, or circumstance.
​

Niyama (observances) comprises personal purifications: śauca (purity), santoṣa (contentment), tapas (austerity), svādhyāya (scriptural study), and īśvarapraṇidhāna (surrender to the divine), cultivating inner clarity.
​

Āsana (posture) establishes a steady, comfortable seat (sthira-sukham āsanam) free from dualities, preparing the body for prolonged meditation.

Prāṇāyāma (breath regulation) controls prāṇa through inhalation (pūraka), exhalation (rechaka), and retention (kumbhaka), removing the veiling of the light .
​

Pratyāhāra (sense withdrawal) detaches senses from external objects, mastering the mind's tendencies.
​

Dhāraṇā (concentration) fixes awareness on a single point (deśa-bandhās cittasya dhāraṇā), the gateway to meditation.
​

Dhyāna (meditation) sustains uninterrupted flow of awareness toward that point.
​

Samādhi (absorption) merges knower, knowing, and known into non-dual unity, the culmination of the path.",https://hareesh.org/blog/2016/2/12/the-eight-limbs-of-yoga-think-again
