Pada,Sutra,Page_Number,Book_Name,Sanskrit,Romanised_Sanskrit,Hindi,English,Question,Hindi_Question,Answer,Hindi_Answer,Reference_Link,,,क्रम संख्या
1,1,2,Patanjali Yoga Sutra,अथ योगानुशासनम्,atha yogānuśāsanam,अब मै योग को विस्तार से कहता हूँ,"Now that you are prepared, the true teaching of Yoga begins.",What is the first sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का पहला सूत्र क्या है?,"Now that you are prepared, the true teaching of Yoga begins.",अब मै योग को विस्तार से कहता हूँ,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,1
1,2,2,Patanjali Yoga Sutra,योगश्चित्त वृत्ति निरोधः,yogaścitta vṛtti nirodhaḥ,चित्त की वृत्तियो को शांत करना ही योग है,Yoga is cessation of the fluctuations of the mind.,What is the second sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का दूसरा सूत्र क्या है?,Yoga is the cessation or regulation of the fluctuations of the mind.,चित्त की वृत्तियो को शांत करना ही योग है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,2
1,2,2,Patanjali Yoga Sutra,योगश्चित्त वृत्ति निरोधः,yogaścitta vṛtti nirodhaḥ,चित्त की वृत्तियो को शांत करना ही योग है,Yoga is cessation of the fluctuations of the mind.,What is Yoga?,योग क्या है?,Yoga is the cessation or regulation of the fluctuations of the mind.,चित्त की वृत्तियो को शांत करना ही योग है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,2
1,3,2,Patanjali Yoga Sutra,तदा द्रष्टः स्वरूपेवस्थानम्‌,tadā draṣtuḥ svarūpe’vasthānam,तब योगी अपने सच्चे सवरूप मे स्थापित होता है,Then the Seer Exists As Itself,What is the third sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का तीसरा सूत्र क्या है?,Then the Seer Exists As Itself,तब योगी अपने सच्चे सवरूप मे स्थापित होता है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,3
1,4,2,Patanjali Yoga Sutra,वृत्ति सारूप्यमितरत्र,vṛtti sārūpyamitaratra,अन्य समय पर वह वृत्तियो से प्रभावित होता है,The (Properties of Being) Exists At Other Times,What is the fourth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का चौथा सूत्र क्या है?,The Properties of Being Exists At Other Times,अन्य समय पर वह वृत्तियो से प्रभावित होता है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,4
1,5,2,Patanjali Yoga Sutra,वृत्तयः पञ्चतय्यः किलष्टा अक्लिष्टाः ,vṛttayaḥ pañcatayyaḥ kilaṣtā akliṣtāḥ,"वृत्तिया अच्छी या बुरी, पांच प्रकार की होती है",The Types of (Properties of Being) Are Five and They Each May Be Good or Bad,What is the fifth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का पाँचवाँ सूत्र क्या है?,The Types of Properties of Being Are Five and They Each May Be Good or Bad,"वृत्तिया अच्छी या बुरी, पांच प्रकार की होती है",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,5
1,6,2,Patanjali Yoga Sutra,प्रमाण विपर्यय विकल्प निद्रा स्मृतयः,pramāṇa-viparyaya-vikalpa-nidrā-smṛtayaḥ,"जो की निम्न है प्रमाण, विपर्यय, विकल्प, निद्रा और स्मृति","They Are Correct Intelligence, Incorrect Intelligence, Imagination, Sleep and Memory",What is the sixth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का छठा सूत्र क्या है?,"They Are Correct Intelligence, Incorrect Intelligence, Imagination, Sleep and Memory","जो की निम्न है प्रमाण, विपर्यय, विकल्प, निद्रा और स्मृति",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,6
1,7,3,Patanjali Yoga Sutra,प्रत्यक्षानुमानागमाः प्रमाणानि,pratyakṣānumānāgamāḥ pramāṇāni,"किसी वस्तु का प्रत्यक्ष होना, सही अनूमान लगाना ओर भरोसा होना प्रमाण है","Correct Intelligence May Be Acquired By Direct Observation, Correct Analysis, Trustworthy Testimony",What is the seventh sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का सातवाँ सूत्र क्या है?,"Correct Intelligence May Be Acquired By Direct Observation, Correct Analysis, Trustworthy Testimony","किसी वस्तु का प्रत्यक्ष होना, सही अनूमान लगाना ओर भरोसा होना प्रमाण है",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,7
1,8,3,Patanjali Yoga Sutra,विपर्ययो मिथ्याज्ञानमतद्रूपप्रतिष्ठम्,viparyayo mithyā-jñānam atadrūpa-pratiṣtham,"किसी वस्तु के बारे में जो की मिथ्या है, झूठ है, गलत आभास होना की वह सच है विपर्यय है",Incorrect Intelligence Is Based On False Knowledge and Of Perception Of What Is Not The True Form,What is the eighth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का आठवाँ सूत्र क्या है?,Incorrect Intelligence Is Based On False Knowledge and Of Perception Of What Is Not The True Form,"किसी वस्तु के बारे में जो की मिथ्या है, झूठ है, गलत आभास होना की वह सच है विपर्यय है",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,8
1,9,3,Patanjali Yoga Sutra,शब्दज्ञानानुपाती वस्तुशून्यो विकल्पः,śabda-jñānānupātī vastuśūnyo vikalpaḥ,जिस ज्ञान के बरे में सही गलत की असमंजस हो तथा किसी वस्तु की कल्पना की जाए उसे विकल्प कहते है,The Knowledge Which Is Followed By Concepts Which Are Devoid Of Reality Is Imagination,What is the ninth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का नौवाँ सूत्र क्या है?,The Knowledge Which Is Followed By Concepts Which Are Devoid Of Reality Is Imagination,जिस ज्ञान के बरे में सही गलत की असमंजस हो तथा किसी वस्तु की कल्पना की जाए उसे विकल्प कहते है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,9
